Time_Index,Load_HSC_Tonne_z1,Load_HSC_Tonee_z2,Load_HSC_Tonne_z3
1,85.63576758,134.7040413,42.45035348
2,84.8934405,133.8779445,42.1250259
3,86.61237575,135.7908569,42.87835552
4,91.69572217,141.4478449,45.10615062
5,102.3196491,153.2706527,49.76212533
6,128.4589823,182.3597376,61.21778343
7,148.3716577,204.5195035,69.94458595
8,145.3393426,201.1449999,68.61566281
9,143.4072701,198.9948985,67.76892505
10,137.4532878,192.3690256,65.15957057
11,131.6250873,185.8831287,62.60534048
12,127.1870526,180.9442741,60.66035557
13,124.0201428,177.4199874,59.27244586
14,122.6265468,175.8691278,58.66169729
15,123.2286853,176.5392159,58.92558667
16,124.8110508,178.300147,59.6190641
17,128.6822062,182.6081517,61.3156121
18,131.5727278,185.8248607,62.58239376
19,131.7765648,186.0517002,62.67172605
20,130.7383248,184.8962976,62.21671357
21,127.3147495,181.0863813,60.71631919
22,117.8591815,170.5637785,56.57238205
23,99.14052183,149.7327697,48.36886124
24,86.242529,135.3792739,42.71626886
25,81.351311,129.9360955,40.57267476
26,83.4040255,132.2204532,41.47228438
27,84.6857535,133.6468207,42.03400633
28,89.7430915,139.2748654,44.25040314
29,100.9881413,151.7888879,49.17858719
30,126.5899458,180.2797855,60.39867138
31,144.9207738,200.6791968,68.43222352
32,141.455223,196.8225682,66.91343329
33,139.4409165,194.5809527,66.0306561
34,133.7177734,188.2119688,63.52246781
35,128.1535228,182.0198078,61.08391467
36,124.0399713,177.4420534,59.28113571
37,121.0996413,174.1699153,57.99252543
38,119.7257699,172.6410063,57.39042124
39,120.6710563,173.6929655,57.80469643
40,122.0905449,175.2726396,58.42679252
41,125.7380302,179.3317335,60.02531619
42,128.830845,182.773564,61.38075362
43,129.3790704,183.3836551,61.62101538
44,128.390089,182.2830699,61.18759067
45,125.2312108,178.7677209,59.80320076
46,115.9336943,168.4210055,55.72853033
47,97.662649,148.088123,47.7211781
48,85.15123692,134.1648325,42.23800614
49,82.6070865,131.3335818,41.12302295
50,84.47441683,133.4116353,41.94138729
51,85.91486225,135.0146309,42.57266771
52,90.81150983,140.4638516,44.71864138
53,101.4223868,152.2721368,49.36889686
54,127.5289805,181.3247876,60.81020671
55,146.1764123,202.0765306,68.98251167
56,142.264958,197.7236795,67.26830257
57,139.8355053,195.0200699,66.2035861
58,134.483726,189.064357,63.85814929
59,129.0012329,182.9631796,61.45542671
