Time_Index,coal,ng,hydrogen,biomass,uranium,None,elec_imp_uk,elec_imp_no,elec_imp_de,elec_imp_ge,elec_imp_be
0,0.093,0.053,0,0,0,0,0,0,0,0,0
1,10.75,8.5,0,9.5,2.55,0,54.97,48.98,26.66,-5.17,0.01
2,10.75,8.5,0,9.5,2.55,0,52.02,27.45,4.14,-1.07,0
3,10.75,8.5,0,9.5,2.55,0,37.93,24.48,-0.03,-1.47,-0.01
4,10.75,8.5,0,9.5,2.55,0,34.29,24.01,-0.02,-5.08,-0.03
5,10.75,8.5,0,9.5,2.55,0,33.36,21.23,-0.05,-4.49,-0.02
6,10.75,8.5,0,9.5,2.55,0,33.3,22.62,-0.02,-5.4,-0.05
7,10.75,8.5,0,9.5,2.55,0,33.2,25.04,0,-5.02,-0.02
8,10.75,8.5,0,9.5,2.55,0,34.06,26.24,0.08,-1.3,0
9,10.75,8.5,0,9.5,2.55,0,35.39,32.21,41.34,-1.44,0.04
10,10.75,8.5,0,9.5,2.55,0,41.24,47.71,43.51,-1.09,0.06
11,10.75,8.5,0,9.5,2.55,0,48.07,52.51,43.02,-1.07,0.54
12,10.75,8.5,0,9.5,2.55,0,56.34,56.57,44.29,-1.07,2.24
13,10.75,8.5,0,9.5,2.55,0,50.6,59.82,46.24,-0.79,2
14,10.75,8.5,0,9.5,2.55,0,50.6,62.06,50.61,-0.27,1.35
15,10.75,8.5,0,9.5,2.55,0,50.21,62.52,59.47,0.85,4.13
16,10.75,8.5,0,9.5,2.55,0,46.81,63.19,64.99,23.53,27.96
17,10.75,8.5,0,9.5,2.55,0,63.51,64.99,61.74,36.54,50.37
18,10.75,8.5,0,9.5,2.55,0,67.43,63.58,61.27,46.03,53.76
19,10.75,8.5,0,9.5,2.55,0,54.4,63.1,59.97,55.57,56.77
20,10.75,8.5,0,9.5,2.55,0,52.05,62.15,54.92,54.95,51.4
21,10.75,8.5,0,9.5,2.55,0,45.54,58.27,47.65,49.23,35.39
22,10.75,8.5,0,9.5,2.55,0,45.44,52.58,35.55,44.99,40.74
23,10.75,8.5,0,9.5,2.55,0,40.48,44.03,30.59,45.96,35.55
24,10.75,8.5,0,9.5,2.55,0,38.85,38,20.07,35,23.92
25,10.75,8.5,0,9.5,2.55,0,35.1,33.56,31.03,57.91,17.7
26,10.75,8.5,0,9.5,2.55,0,33.48,32.03,18.39,51.67,12.39
27,10.75,8.5,0,9.5,2.55,0,30.15,32.29,11.08,52.93,7.35
28,10.75,8.5,0,9.5,2.55,0,29.68,36.7,13.78,44.09,4.19
29,10.75,8.5,0,9.5,2.55,0,29.9,41.72,47.63,50.08,4.75
30,10.75,8.5,0,9.5,2.55,0,35.53,49.18,58.1,69.72,31.59
31,10.75,8.5,0,9.5,2.55,0,44.06,62.04,65.67,105.08,49.96
32,10.75,8.5,0,9.5,2.55,0,46.68,65.67,64.73,140.64,58.46
33,10.75,8.5,0,9.5,2.55,0,47.27,66.8,68.98,145.98,59.05
