Resource,r_id,Zone,H_Gen_type,H_Stor,Existing_cap_tonne_p_hr,Rep_capacity,Num_units,Existing_cap_tonne,Existing_cap_comp_tonne_hr,Max_Cap_tonne_p_hr,Min_Cap_tonne_p_hr,Max_Cap_Stor_Tonne,Min_Cap_Stor_tonne,Pow_Demand_MWh_p_tonne,Heat_rate_MMBTU_p_tonne,Fuel,Inv_cost_tonne_hr_p_yr,Inv_cost_tonne_p_yr,Inv_Cost_Comp_tonne_hr_p_yr,FOM_Cost_p_tonne_p_hr_yr,FOM_Cost_p_tonne_p_yr,FOM_Cost_Comp_tonne_hr_p_yr,VOM_Cost_p_tonne,Var_OM_Cost_Charge_p_tonne,StartUp_Cost_p_tonne_hr,Up_Time,Down_Time,Min_op_level,Max_op_level,H2Stor_Min_Level,H2Stor_Max_Level,H2Charge_MWh_p_tonne,etta_self_dis,etta_cha,etta_dis,Ramp_Up_Percentage,Ramp_Down_Percentage,land_use_km2_p_cap,Boil_off,CCS_Rate
SMR_CCS_95_1,1,1,1,0,0,1,0,0,0,10000,0,0,0,0,200,ng,2912500,0,0,418300,0,0,800,0,3363,6,4,0.4,1,0,0,0,0,0,0,0.7,0.7,1.63,0,0.9
SMR_1,2,1,1,0,1,1,1,0,0,10000,0,0,0,0,200,ng,1651900,0,0,200000,0,0,600,0,3363,6,4,0.4,1,0,0,0,0,0,0,0.7,0.7,1.63,0,0
AEL_1,3,1,2,0,0.1,0.1,1,0,0,10000,0,0,0,50,0,none,1457000,0,0,58200,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,1,1,0.018,0,0
PEM_1,4,1,2,0,0,0.1,0,0,0,10000,0,0,0,55,0,none,1784500,0,0,71400,0,0,0,0,0,0,0,0.05,1,0,0,0,0,0,0,1,1,0.02,0,0
Coal_Gasification_1,5,1,1,0,0,1,0,0,0,10000,0,0,0,0,210,coal,4800000,0,0,192300,0,0,600,0,3996,24,12,0.3,1,0,0,0,0,0,0,0.6,0.6,1.63,0,0
H2_sto_1,6,1,0,1,0,0,0,0,0,0,0,100000,0,0,0,none,0,31800,105650,0,1272,0,0,0,0,0,0,0,0,0,1,1.5,0.001,1,1,1,1,0.0004,0,0
Salt_cav_1,7,1,0,1,0,0,0,0,0,0,0,932000,0,0,0,none,0,26950,105650,0,1078,0,0,0,0,0,0,0,0,0.25,1,2.2,0,1,1,1,1,0,0,0
SMR_CCS_95_2,8,2,1,0,0,1,0,0,0,10000,0,0,0,0,200,ng,2912500,0,0,418300,0,0,800,0,3363,6,4,0.4,1,0,0,0,0,0,0,0.7,0.7,1.63,0,0.9
SMR_2,9,2,1,0,0,1,0,0,0,10000,0,0,0,0,200,ng,1651900,0,0,200000,0,0,600,0,3363,6,4,0.4,1,0,0,0,0,0,0,0.7,0.7,1.63,0,0
AEL_2,10,2,2,0,0.1,0.1,1,0,0,10000,0,0,0,50,0,none,1457000,0,0,58200,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,1,1,0.018,0,0
PEM_2,11,2,2,0,0,0.1,0,0,0,10000,0,0,0,55,0,none,1784500,0,0,71400,0,0,0,0,0,0,0,0.05,1,0,0,0,0,0,0,1,1,0.02,0,0
Coal_Gasification_2,12,2,1,0,0,1,0,0,0,10000,0,0,0,0,210,coal,4800000,0,0,192300,0,0,600,0,3996,24,12,0.3,1,0,0,0,0,0,0,0.6,0.6,1.63,0,0
H2_sto_2,13,2,0,1,0,0,0,0,0,0,0,100000,0,0,0,none,0,31800,105650,0,1272,0,0,0,0,0,0,0,0,0,1,1.5,0.001,1,1,1,1,0.0004,0,0
SMR_CCS_95_3,14,3,1,0,0,1,0,0,0,10000,0,0,0,0,200,ng,2912500,0,0,418300,0,0,800,0,3363,6,4,0.4,1,0,0,0,0,0,0,0.7,0.7,1.63,0,0.9
SMR_3,15,3,1,0,0,1,0,0,0,10000,0,0,0,0,200,ng,1651900,0,0,200000,0,0,600,0,3363,6,4,0.4,1,0,0,0,0,0,0,0.7,0.7,1.63,0,0
AEL_3,16,3,2,0,0,0.1,0,0,0,10000,0,0,0,50,0,none,1457000,0,0,58200,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,1,1,0.018,0,0
PEM_3,17,3,2,0,0,0.1,0,0,0,10000,0,0,0,55,0,none,1784500,0,0,71400,0,0,0,0,0,0,0,0.05,1,0,0,0,0,0,0,1,1,0.02,0,0
Coal_Gasification_3,18,3,1,0,0,1,0,0,0,10000,0,0,0,0,210,coal,4800000,0,0,192300,0,0,600,0,3996,24,12,0.3,1,0,0,0,0,0,0,0.6,0.6,1.63,0,0
H2_sto_3,19,3,0,1,0,0,0,0,0,0,0,100000,0,0,0,none,0,31800,105650,0,1272,0,0,0,0,0,0,0,0,0,1,1.5,0.001,1,1,1,1,0.0004,0,0
