Time_Index,GT_1,CCGT_1,Coal_pp_1,Biomass_1,GBPV_1,RoofPV_1,Onshore_WT_1,Fuel_Cell_1,GT_2,CCGT_2,Coal_pp_2,Biomass_2,GBPV_2,RoofPV_2,Onshore_WT_2,Fuel_Cell_2,GT_3,CCGT_3,Coal_pp_3,Biomass_3,GBPV_3,RoofPV_3,Onshore_WT_3,Fuel_Cell_3
1,0.92,0.95,0.88,0.82,0,0,0.495,1,0.92,0.95,0.88,0.82,0,0,0.709,1,0.92,0.95,0.88,0.82,0,0,0.27,1
2,0.92,0.95,0.88,0.82,0,0,0.467,1,0.92,0.95,0.88,0.82,0,0,0.676,1,0.92,0.95,0.88,0.82,0,0,0.268,1
3,0.92,0.95,0.88,0.82,0,0,0.446,1,0.92,0.95,0.88,0.82,0,0,0.647,1,0.92,0.95,0.88,0.82,0,0,0.267,1
4,0.92,0.95,0.88,0.82,0,0,0.431,1,0.92,0.95,0.88,0.82,0,0,0.632,1,0.92,0.95,0.88,0.82,0,0,0.272,1
5,0.92,0.95,0.88,0.82,0,0,0.416,1,0.92,0.95,0.88,0.82,0,0,0.62,1,0.92,0.95,0.88,0.82,0,0,0.276,1
6,0.92,0.95,0.88,0.82,0,0,0.466,1,0.92,0.95,0.88,0.82,0,0,0.609,1,0.92,0.95,0.88,0.82,0,0,0.272,1
7,0.92,0.95,0.88,0.82,0,0,0.459,1,0.92,0.95,0.88,0.82,0,0,0.601,1,0.92,0.95,0.88,0.82,0,0,0.269,1
8,0.92,0.95,0.88,0.82,0,0,0.473,1,0.92,0.95,0.88,0.82,0,0,0.606,1,0.92,0.95,0.88,0.82,0,0,0.264,1
9,0.92,0.95,0.88,0.82,0,0,0.478,1,0.92,0.95,0.88,0.82,0,0,0.61,1,0.92,0.95,0.88,0.82,0,0,0.251,1
10,0.92,0.95,0.88,0.82,0.10625,0.10625,0.466,1,0.92,0.95,0.88,0.82,0.03291,0.03291,0.602,1,0.92,0.95,0.88,0.82,0.10441,0.10441,0.215,1
11,0.92,0.95,0.88,0.82,0.12089,0.12089,0.455,1,0.92,0.95,0.88,0.82,0.07386,0.07386,0.598,1,0.92,0.95,0.88,0.82,0.11916,0.11916,0.19,1
12,0.92,0.95,0.88,0.82,0.12265,0.12265,0.442,1,0.92,0.95,0.88,0.82,0.03964,0.03964,0.573,1,0.92,0.95,0.88,0.82,0.14805,0.14805,0.182,1
