Time_Index,Load_MW_z1,Load_MW_z2
1,1253.8,1037.7
2,1269.5,1050.7
3,1417.1,1252.7
4,1270.4,1049.5
5,1275.7,1052.9
6,1294.1,1069.8
7,1325.3,1098.9
8,1345.2,1115.1
9,1346.9,1116.2
10,1330.9,1102.3
11,1312.7,1085.2
12,1291.7,1064.1
13,1262.9,1036.9
14,1410.5,1252.1
15,1358.6,1188.9
16,1266.7,1062.7
17,1462.6,1317.5
18,1654.7,1555.7
19,1584.6,1452.5
20,1455.4,1288.9
21,1515.3,1381.4
22,1404.1,1223.7
23,1267.6,1034.5
24,1266.6,1031.8
25,1272.3,1039.3
26,1277,1043.9
27,1272.7,1040.8
28,1264.1,1033.1
29,1263.9,1033.4
30,1282.2,1050.1
31,1336.9,1098.9
32,1637.3,1442.9
33,1884.1,1701.5
34,1809.2,1585.6
35,1768.5,1535.4
36,1850.8,1655.9
37,1661.9,1430.1
38,1626.7,1385.5
39,1527.1,1258.9
40,1550.2,1302.3
41,1493.3,1255.4
42,1646.2,1504.3
43,1783.4,1717.6
44,2065.7,2125.5
45,1544.4,1424.7
46,1505.7,1379.7
47,1491.9,1370.2
48,1353.1,1183.7
49,1296.5,1108.4
50,1360.6,1192.8
51,1217.1,995.1
52,1218.7,995.9
53,1227.5,1003.7
54,1251.6,1025.2
55,1360.3,1142.9
56,1754.7,1613.5
57,1917.4,1752.3
58,1765.6,1526.5
59,1818.6,1601
60,1867.3,1670.3
61,1781.9,1577.1
62,1732.2,1503.2
63,1987.9,1850.2
64,1735.4,1508.5
65,1832.5,1661.8
66,1584.3,1353.2
67,1705.9,1541.3
68,2203.3,2243.8
69,1819.7,1727.4
70,1967.2,1934.3
71,2068,2083.6
72,2086.6,2112.8
73,2049.8,2059.8
74,1794.9,1699.4
75,1675.5,1529
76,1436.9,1197.2
77,1398.4,1141.1
78,1421.9,1162.8
79,1487.5,1220.2
80,1746.4,1506.3
81,1982.8,1747.8
82,1778.9,1454.4
83,1751.6,1421.1
84,1777.8,1463.6
85,1776.6,1492.6
86,1709,1408
