Resource,r_id,Zone,Gen_type,Stor_type,Existing_cap,Rep_capacity,Num_units,Existing_cap_MWh,Max_cap_MW,Max_cap_MWh,Min_cap,Min_cap_MWh,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,FOM_cost_per_MWyr,FOM_cost_per_MWhyr,VOM_cost_MWh,VOM_cost_MWh_Charge,Heat_Rate_MMBTU_per_MWh,Fuel,Min_op_level,Max_op_level,Start_cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_time,Down_time,Ramp_up,Ramp_dn,etta_self_dis,etta_cha,etta_dis,h2_demand_tonne_p_MWh,land_use_km2_p_cap,ccs_rate
GT_1,1,1,1,0,1444,361,4,0,50000,0,0,0,45300,0,6973,0,5.06,0,10,ng,0.3,1,118,3.5,2,1,1,1,0,1,1,0,0.049,0
CCGT_1,2,1,1,0,2328,291,8,0,50000,0,0,0,69500,0,14044,0,2.87,0,6.4,ng,0.35,1,101,2,6,4,0.7,0.7,0,1,1,0,0.049,0
Coal_pp_1,3,1,1,0,0,50,0,0,50000,0,0,0,235500,0,40400,0,5.06,0,9.75,coal,0.4,1,120,16.6,24,12,0.6,0.6,0,1,1,0,0.049,0
Biomass_1,4,1,1,0,0,50,0,0,50000,0,0,0,160000,0,125221,0,5.44,0,13.5,biomass,0.4,1,0,4.3,12,6,1,1,0,1,1,0,0.049,0
GBPV_1,5,1,2,0,957,1,957,0,50000,0,0,0,31360,0,15185,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0.176,0
RoofPV_1,6,1,2,0,360,1,360,0,2511,0,0,0,62700,0,15185,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0,0
Onshore_WT_1,7,1,2,0,868,1,868,0,50000,0,0,0,109650,0,26230,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0.286,0
Fuel_Cell_1,8,1,1,0,0,1,0,0,50000,0,0,0,381000,0,30663,0,0.66,0,0,hydrogen,0.1,1,0,0,0,0,1,1,0,1,1,0.06,0.00036,0
Battery_1,9,1,0,1,0,1,0,0,0,50000,0,0,0,66370,0,40500,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0,0
GT_2,10,2,1,0,144,72,2,0,50000,0,0,0,45300,0,6973,0,5.06,0,10,ng,0.3,1,118,3.5,2,1,1,1,0,1,1,0,0.049,0
CCGT_2,11,2,1,0,0,50,0,0,50000,0,0,0,69500,0,14044,0,2.87,0,6.4,ng,0.35,1,101,2,6,4,0.7,0.7,0,1,1,0,0.049,0
Coal_pp_2,12,2,1,0,0,50,0,0,50000,0,0,0,235500,0,40400,0,5.06,0,9.75,coal,0.4,1,120,16.6,24,12,0.6,0.6,0,1,1,0,0.049,0
Biomass_2,13,2,1,0,0,50,0,0,50000,0,0,0,160000,0,125221,0,5.44,0,13.5,biomass,0.4,1,0,4.3,12,6,1,1,0,1,1,0,0.049,0
GBPV_2,14,2,2,0,289,1,289,0,50000,0,0,0,31360,0,15185,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0.176,0
RoofPV_2,15,2,2,0,448,1,448,0,2870,0,0,0,62700,0,15185,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0,0
Onshore_WT_2,16,2,2,0,619,1,619,0,50000,0,0,0,109650,0,26230,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0.286,0
Fuel_Cell_2,17,2,1,0,0,1,0,0,50000,0,0,0,381000,0,30663,0,0.66,0,0,hydrogen,0.1,1,0,0,0,0,1,1,0,1,1,0.06,0.00036,0
Battery_2,18,2,0,1,0,1,0,0,0,50000,0,0,0,66370,0,40500,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0,0
GT_3,19,3,1,0,126,63,2,0,50000,0,0,0,45300,0,6973,0,5.06,0,10,ng,0.3,1,118,3.5,2,1,1,1,0,1,1,0,0.049,0
CCGT_3,20,3,1,0,0,50,0,0,50000,0,0,0,69500,0,14044,0,2.87,0,6.4,ng,0.35,1,101,2,6,4,0.7,0.7,0,1,1,0,0.049,0
Coal_pp_3,21,3,1,0,0,50,0,0,50000,0,0,0,235500,0,40400,0,5.06,0,9.75,coal,0.4,1,120,16.6,24,12,0.6,0.6,0,1,1,0,0.049,0
Biomass_3,22,3,1,0,0,50,0,0,50000,0,0,0,160000,0,125221,0,5.44,0,13.5,biomass,0.4,1,0,4.3,12,6,1,1,0,1,1,0,0.049,0
GBPV_3,23,3,2,0,944,1,944,0,50000,0,0,0,31360,0,15185,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0.176,0
RoofPV_3,24,3,2,0,293,1,293,0,2152,0,0,0,62700,0,15185,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0,0
Onshore_WT_3,25,3,2,0,271,1,271,0,50000,0,0,0,109650,0,26230,0,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0.286,0
Fuel_Cell_3,26,3,1,0,0,1,0,0,50000,0,0,0,381000,0,30663,0,0.66,0,0,hydrogen,0.1,1,0,0,0,0,1,1,0,1,1,0.06,0.00036,0
Battery_3,27,3,0,1,0,1,0,0,0,50000,0,0,0,66370,0,40500,0,0,0,none,0,1,0,0,0,0,1,1,0,1,1,0,0,0
