fid,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,xcoord,ycoord
"1",NL12,"2",NL,Friesland (NL),Friesland (NL),"0","0","0",182052.631181178,566665.677509224
"2",NL13,"2",NL,Drenthe,Drenthe,"0","0","0",237925.138162345,542385.959344141
"3",NL11,"2",NL,Groningen,Groningen,"0","0","0",245541.619642929,582054.626163712
"4",NL41,"2",NL,Noord-Brabant,Noord-Brabant,"0","0","0",140981.398392812,396993.014335708
"5",NL42,"2",NL,Limburg (NL),Limburg (NL),"0","0","0",193153.397878969,357764.971700147
"6",NL22,"2",NL,Gelderland,Gelderland,"0","0","0",192803.990910148,452742.790840857
"7",NL34,"2",NL,Zeeland,Zeeland,"0","0","0",47532.436514486,387102.576038717
"8",NL23,"2",NL,Flevoland,Flevoland,"0","0","0",163629.706862456,506944.888776602
"9",NL31,"2",NL,Utrecht,Utrecht,"0","0","0",140375.20415655,456504.061997206
"10",NL32,"2",NL,Noord-Holland,Noord-Holland,"0","0","0",123264.919808403,512620.020788572
"11",NL33,"2",NL,Zuid-Holland,Zuid-Holland,"0","0","0",92752.0902985119,439124.095652711
"12",NL21,"2",NL,Overijssel,Overijssel,"0","0","0",226774.125258066,495704.00869683
