Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
1,392.5,179.36,128.4
2,371.2,169.6,121.44
3,355.35,162.32,116.28
4,347.35,158.72,113.64
5,346.1,158.16,113.28
6,352.25,160.96,115.2
7,365.35,166.96,119.52
8,377.2,172.32,123.48
9,397.3,181.52,129.96
10,417,190.56,136.44
11,428.9,195.92,140.28
12,433.3,197.92,141.72
13,435.35,198.96,142.44
14,431.5,197.12,141.12
15,427.2,195.2,139.8
16,429.7,196.32,140.52
17,471.55,215.44,154.32
18,511.25,233.6,167.28
19,508.25,232.24,166.32
20,492.7,225.2,161.16
21,474.5,216.8,155.28
22,449.1,205.2,147
23,417.65,190.8,136.68
24,382.4,174.72,125.04
25,352.55,161.04,115.32
26,334.45,152.8,109.44
27,325.75,148.88,106.56
28,323.8,147.92,105.96
29,330.9,151.2,108.24
30,349,159.44,114.12
31,376.15,171.84,123
32,398.4,182,130.32
33,425.65,194.48,139.32
34,453.6,207.28,148.32
35,474.1,216.64,155.04
36,482.5,220.4,157.92
37,481.75,220.08,157.56
38,478.6,218.72,156.6
39,477.1,218,156.12
40,484.35,221.28,158.52
41,529.8,242.08,173.28
42,575.75,263.12,188.4
43,570.7,260.8,186.72
44,556.9,254.48,182.28
45,534.4,244.16,174.84
46,498.95,228,163.2
47,455,207.92,148.92
48,415.2,189.76,135.84
49,388.8,177.68,127.2
50,375.65,171.6,122.88
51,369.3,168.72,120.84
52,370.05,169.12,121.08
53,383.35,175.12,125.4
54,422.75,193.12,138.24
55,492.4,224.96,161.16
56,531.45,242.8,173.88
57,538.05,245.84,176.04
58,541.75,247.52,177.24
59,546.6,249.76,178.8
60,547.5,250.16,179.16
61,545.25,249.2,178.44
62,544.5,248.88,178.08
63,542.45,247.84,177.48
64,549.95,251.28,179.88
65,592.9,270.88,193.92
66,639.8,292.32,209.4
67,641.05,292.88,209.76
68,630.25,288,206.28
69,609.75,278.64,199.56
70,573.8,262.16,187.8
71,525.75,240.24,172.08
72,483.7,221.04,158.28
73,457.55,209.12,149.64
74,443.8,202.8,145.2
75,436.8,199.6,142.92
76,437.6,199.92,143.16
77,449.5,205.44,147.12
78,486.65,222.4,159.24
79,554.2,253.28,181.32
80,591,270.08,193.32
81,591.7,270.4,193.68
82,590.15,269.68,193.08
83,588.85,269.04,192.6
84,583.05,266.4,190.8
85,574.7,262.64,188.04
86,569.75,260.4,186.48
87,565.3,258.32,184.92
88,571.15,260.96,186.84
89,611.05,279.28,199.92
90,643.55,294.08,210.6
91,638.6,291.76,208.92
92,623.7,284.96,204.12
93,599.85,274.08,196.2
94,560.35,256.08,183.36
95,510.05,233.12,166.92
96,463.5,211.84,151.68
97,433.8,198.24,141.84
98,417.9,190.96,136.8
99,409.9,187.28,134.04
100,408.4,186.64,133.68
101,418.9,191.44,137.04
102,453.25,207.12,148.32
103,518.55,236.96,169.68
104,556.8,254.48,182.16
105,560.85,256.32,183.6
106,563.35,257.44,184.32
107,560.8,256.24,183.6
108,552.95,252.72,180.96
109,546.15,249.52,178.68
110,543.45,248.32,177.84
111,539.15,246.4,176.4
112,542.65,248,177.48
113,577.1,263.68,188.88
114,614.85,280.96,201.12
115,612.6,279.92,200.52
116,598.7,273.6,195.84
117,576.35,263.36,188.52
118,539.4,246.48,176.52
119,489.75,223.76,160.2
120,446.85,204.24,146.16
121,418.8,191.36,136.92
122,403.55,184.4,132
123,395.75,180.8,129.48
124,393.8,179.92,128.88
125,403.4,184.32,132
126,437.5,199.92,143.16
127,501.6,229.2,164.16
128,540,246.8,176.76
129,544.5,248.8,178.08
130,545.05,249.04,178.32
131,542.65,248,177.48
132,534.6,244.24,174.96
133,525.75,240.24,172.08
134,521.15,238.08,170.52
135,513.9,234.8,168.12
136,516.35,236,168.96
137,546.5,249.68,178.8
138,575.35,262.88,188.28
139,566.1,258.72,185.28
140,549.8,251.2,179.88
141,528.05,241.28,172.8
142,499.7,228.4,163.56
143,461.2,210.8,150.84
144,421.6,192.64,138
145,390.95,178.72,127.92
146,374,170.88,122.4
147,364.8,166.64,119.28
148,361.05,165.04,118.08
149,364.65,166.64,119.28
150,378.55,172.96,123.84
151,403.65,184.4,132
152,430.1,196.48,140.64
153,457.15,208.88,149.64
154,473.55,216.32,154.92
155,478.15,218.48,156.36
156,474.3,216.72,155.16
157,465.6,212.72,152.28
158,455.75,208.24,149.04
159,448.8,205.12,146.88
160,453.6,207.28,148.32
161,486.8,222.4,159.36
162,520.15,237.6,170.16
163,514,234.88,168.24
164,497.5,227.36,162.84
165,481.9,220.16,157.68
166,459.35,209.92,150.24
167,429.85,196.4,140.64
168,397.4,181.6,130.08
169,370.2,169.12,121.2
170,354.45,161.92,115.92
171,345.1,157.68,112.92
172,342.6,156.56,112.08
173,345.2,157.76,112.92
174,355.25,162.32,116.28
175,374.7,171.2,122.52
176,395.05,180.48,129.24
177,423.4,193.44,138.48
178,445.3,203.52,145.68
179,459.15,209.84,150.24
180,467.8,213.76,153.12
181,469.3,214.4,153.6
182,466.7,213.2,152.64
183,465.05,212.48,152.16
184,471.55,215.52,154.32
185,512,234,167.52
186,554.05,253.2,181.32
187,553.2,252.8,181.08
188,538.95,246.24,176.28
189,520.25,237.68,170.16
190,489.55,223.68,160.2
191,449.15,205.2,147
192,413.8,189.12,135.36
193,390.65,178.48,127.8
194,379.5,173.44,124.2
195,375.35,171.52,122.88
196,376.8,172.16,123.24
197,390.4,178.4,127.8
198,429.6,196.32,140.52
199,500.15,228.56,163.56
200,540.9,247.2,177
201,544.9,248.96,178.32
202,545.45,249.2,178.44
203,545.15,249.12,178.44
204,540.5,246.96,176.88
205,531.35,242.8,173.88
206,525.65,240.16,172.08
207,518.3,236.8,169.68
